,model_name,fold,accuracy,vectorizer,method
8,SVC,8,0.7770352369380316,count,stem
9,SVC,9,0.7837181044957473,count,stem
10,Logisitc,0,0.8001822046765867,count,stem
11,Logisitc,1,0.7868205283935621,count,stem
12,Logisitc,2,0.8004858791375645,count,stem
13,Logisitc,3,0.7822654114788946,count,stem
14,Logisitc,4,0.795930762222897,count,stem
15,Logisitc,5,0.7803766707168894,count,stem
16,Logisitc,6,0.7876670716889429,count,stem
17,Logisitc,7,0.7897934386391251,count,stem
18,Logisitc,8,0.8052855407047388,count,stem
19,Logisitc,9,0.798602673147023,count,stem
20,NaiveBayes,0,0.6702095353780747,count,stem
21,NaiveBayes,1,0.6744609778317644,count,stem
22,NaiveBayes,2,0.682356513817188,count,stem
23,NaiveBayes,3,0.6793197692074097,count,stem
24,NaiveBayes,4,0.6802307925903431,count,stem
25,NaiveBayes,5,0.6825637910085055,count,stem
26,NaiveBayes,6,0.6731470230862697,count,stem
27,NaiveBayes,7,0.6704131227217497,count,stem
28,NaiveBayes,8,0.6859052247873633,count,stem
29,NaiveBayes,9,0.6640340218712029,count,stem
30,RandomForest,0,0.7679927118129365,count,stem
31,RandomForest,1,0.7494685696932888,count,stem
32,RandomForest,2,0.7682963862739144,count,stem
33,RandomForest,3,0.7652596416641361,count,stem
34,RandomForest,4,0.7710294564227148,count,stem
35,RandomForest,5,0.7503037667071689,count,stem
36,RandomForest,6,0.753037667071689,count,stem
37,RandomForest,7,0.7603280680437424,count,stem
38,RandomForest,8,0.7633657351154314,count,stem
39,RandomForest,9,0.7660996354799514,count,stem
0,SVC,0,0.8026116003644094,tfidf,none
1,SVC,1,0.8117218341937443,tfidf,none
2,SVC,2,0.8017005769814759,tfidf,none
3,SVC,3,0.7980564834497419,tfidf,none
4,SVC,4,0.7931976920740965,tfidf,none
5,SVC,5,0.8010328068043743,tfidf,none
6,SVC,6,0.8025516403402188,tfidf,none
7,SVC,7,0.7979951397326853,tfidf,none
8,SVC,8,0.7940461725394897,tfidf,none
9,SVC,9,0.8013365735115431,tfidf,none
10,Logisitc,0,0.7819617370179168,tfidf,none
